Id	latitude	longitude	altitude (m)	distance (km)
227	25.4902044	51.44906117	8.9	0.227
228	25.49021229	51.44905633	8.9	0.228
229	25.49022017	51.44905149	8.8	0.229
230	25.49022805	51.44904663	8.8	0.230
231	25.49023592	51.44904177	8.8	0.231
232	25.4902438	51.4490369	8.7	0.232
233	25.49025167	51.44903204	8.7	0.233
234	25.49025955	51.44902719	8.6	0.234
235	25.49026743	51.44902234	8.6	0.235
236	25.49027532	51.4490175	8.6	0.236
237	25.4902832	51.44901265	8.5	0.237
238	25.49029107	51.44900779	8.5	0.238
239	25.49029895	51.44900293	8.5	0.239
240	25.49030682	51.44899806	8.4	0.240
241	25.4903147	51.4489932	8.4	0.241
242	25.49032257	51.44898833	8.4	0.242
243	25.49033044	51.44898346	8.3	0.243
244	25.4903383	51.44897858	8.3	0.244
245	25.49034617	51.44897371	8.3	0.245
246	25.49035404	51.44896883	8.2	0.246
247	25.4903619	51.44896394	8.2	0.247
248	25.49036976	51.44895906	8.2	0.248
249	25.49037763	51.44895417	8.1	0.249
250	25.4903855	51.4489493	8.1	0.250
251	25.49039338	51.44894446	8.0	0.251
252	25.49040127	51.44893963	8.0	0.252
253	25.49040916	51.44893479	8.0	0.253
254	25.49041704	51.44892994	7.9	0.254
255	25.49042491	51.44892506	7.9	0.255
256	25.49043277	51.44892018	7.8	0.256
257	25.49044064	51.4489153	7.8	0.257
258	25.4904485	51.44891042	7.7	0.258
259	25.49045636	51.44890553	7.7	0.259
260	25.49046422	51.44890063	7.6	0.260
261	25.49047207	51.44889573	7.6	0.261
262	25.49047993	51.44889083	7.5	0.262
263	25.4904878	51.44888595	7.5	0.263
264	25.49049567	51.44888108	7.5	0.264
265	25.49050354	51.44887621	7.4	0.265
266	25.49051141	51.44887134	7.4	0.266
267	25.49051928	51.44886647	7.3	0.267
268	25.49052715	51.4488616	7.3	0.268
269	25.49053502	51.44885673	7.3	0.269
270	25.49054289	51.44885187	7.2	0.270
271	25.49055076	51.448847	7.2	0.271
272	25.49055863	51.44884213	7.2	0.272
273	25.4905665	51.44883726	7.2	0.273
274	25.49057437	51.44883238	7.2	0.274
275	25.49058224	51.44882751	7.2	0.275
276	25.49059011	51.44882263	7.2	0.276
277	25.49059798	51.44881775	7.3	0.277
278	25.49060584	51.44881287	7.3	0.278
279	25.49061371	51.44880799	7.3	0.279
280	25.49062158	51.44880312	7.3	0.280
281	25.49062945	51.44879826	7.3	0.281
282	25.49063733	51.4487934	7.3	0.282
283	25.4906452	51.44878854	7.4	0.283
284	25.49065308	51.44878368	7.4	0.284
285	25.49066096	51.44877884	7.4	0.285
286	25.49066884	51.44877399	7.4	0.286
287	25.49067673	51.44876914	7.4	0.287
288	25.49068461	51.44876429	7.4	0.288
289	25.49069249	51.44875944	7.5	0.289
290	25.49070037	51.44875459	7.5	0.290
291	25.49070825	51.44874974	7.5	0.291
292	25.49071613	51.44874489	7.5	0.292
293	25.49072401	51.44874004	7.5	0.293
294	25.4907319	51.44873521	7.6	0.294
295	25.49073979	51.44873037	7.6	0.295
296	25.49074767	51.44872553	7.6	0.296
297	25.49075556	51.44872069	7.6	0.297
298	25.49076343	51.44871582	7.6	0.298
299	25.49077131	51.44871096	7.6	0.299
300	25.49077918	51.44870609	7.7	0.300
301	25.49078705	51.44870123	7.7	0.301
302	25.49079494	51.44869638	7.7	0.302
303	25.49080283	51.44869155	7.7	0.303
304	25.49081072	51.44868672	7.7	0.304
305	25.49081861	51.44868189	7.7	0.305
306	25.49082649	51.44867705	7.8	0.306
307	25.49083436	51.44867217	7.8	0.307
308	25.49084222	51.44866729	7.9	0.308
309	25.49085009	51.4486624	8.0	0.309
310	25.49085795	51.44865752	8.0	0.310
311	25.49086582	51.44865266	8.1	0.311
312	25.4908737	51.44864779	8.2	0.312
313	25.49088157	51.44864293	8.2	0.313
314	25.49088945	51.44863807	8.3	0.314
315	25.49089732	51.44863321	8.4	0.315
316	25.49090521	51.44862836	8.5	0.316
317	25.49091309	51.44862351	8.5	0.317
318	25.49092097	51.44861866	8.6	0.318
319	25.49092885	51.44861382	8.7	0.319
320	25.49093673	51.44860896	8.7	0.320
321	25.49094461	51.44860411	8.8	0.321
322	25.49095249	51.44859926	8.9	0.322
323	25.49096037	51.44859441	8.9	0.323
324	25.49096825	51.44858956	9.0	0.324
325	25.49097613	51.44858471	9.1	0.325
326	25.49098401	51.44857986	9.1	0.326
327	25.4909919	51.44857501	9.2	0.327
328	25.49099978	51.44857017	9.3	0.328
329	25.49100767	51.44856534	9.3	0.329
330	25.49101557	51.44856052	9.4	0.330
331	25.49102346	51.4485557	9.4	0.331
332	25.49103136	51.44855088	9.5	0.332
333	25.49103925	51.44854605	9.5	0.333
334	25.49104714	51.44854122	9.6	0.334
335	25.49105503	51.44853639	9.6	0.335
336	25.49106292	51.44853156	9.7	0.336
337	25.49107081	51.44852672	9.8	0.337
338	25.49107869	51.44852187	9.8	0.338
339	25.49108657	51.44851702	9.9	0.339
340	25.49109445	51.44851217	9.9	0.340
341	25.49110233	51.44850732	9.9	0.341
342	25.49111021	51.44850247	10.0	0.342
343	25.49111809	51.44849761	10.0	0.343
344	25.49112597	51.44849276	10.1	0.344
345	25.49113385	51.4484879	10.1	0.345
346	25.49114172	51.44848305	10.2	0.346
347	25.4911496	51.44847819	10.2	0.347
348	25.49115748	51.44847334	10.2	0.348
349	25.49116536	51.44846849	10.3	0.349
350	25.49117324	51.44846363	10.3	0.350
351	25.49118113	51.44845879	10.4	0.351
352	25.49118902	51.44845397	10.4	0.352
353	25.49119692	51.44844915	10.4	0.353
354	25.49120481	51.44844433	10.5	0.354
355	25.49121271	51.44843951	10.5	0.355
356	25.49122059	51.44843467	10.5	0.356
357	25.49122848	51.44842982	10.6	0.357
358	25.49123636	51.44842498	10.6	0.358
359	25.49124425	51.44842014	10.6	0.359
360	25.49125213	51.4484153	10.7	0.360
361	25.49126002	51.44841045	10.7	0.361
362	25.4912679	51.44840561	10.7	0.362
363	25.49127578	51.44840077	10.7	0.363
364	25.49128367	51.44839592	10.8	0.364
365	25.49129154	51.44839106	10.8	0.365
366	25.49129942	51.4483862	10.8	0.366
367	25.49130729	51.44838134	10.8	0.367
368	25.49131517	51.44837647	10.8	0.368
369	25.49132305	51.44837162	10.9	0.369
370	25.49133093	51.44836677	10.9	0.370
371	25.49133881	51.44836193	10.9	0.371
372	25.4913467	51.44835708	10.9	0.372
373	25.49135458	51.44835224	10.9	0.373
374	25.49136245	51.44834737	10.9	0.374
375	25.49137031	51.44834249	11.0	0.375
376	25.49137818	51.44833761	11.0	0.376
377	25.49138605	51.44833273	11.0	0.377
378	25.49139391	51.44832785	11.0	0.378
379	25.49140178	51.44832298	11.0	0.379
380	25.49140965	51.44831811	11.0	0.380
381	25.49141752	51.44831323	11.0	0.381
382	25.49142539	51.44830836	11.0	0.382
383	25.49143326	51.44830348	11.1	0.383
384	25.49144112	51.4482986	11.1	0.384
385	25.49144899	51.44829372	11.1	0.385
386	25.49145686	51.44828885	11.1	0.386
387	25.49146472	51.44828397	11.1	0.387
388	25.49147259	51.44827909	11.1	0.388
389	25.49148045	51.44827421	11.1	0.389
